"","week","video_number","video_title","topic","views","unique_viewers","length","reupload","video_length"
"4",1,4,"The Importance of Reproducible Research in High-Throughput Biology","course_logistics",17,16,"1:04:56",0,64.9333333333333
"80",6,17,"make_11_final_note","make",20,17,"2:23",0,2.38333333333333
"79",6,16,"make_10_flexible_report","make",26,18,"5:13",0,5.21666666666667
"9",1,5,"mac_more_on_homebrew","mac_install",27,18,"2:35",0,2.58333333333333
"8",1,4,"mac_configure_git","mac_install",23,19,"1:05",0,1.08333333333333
