"","","week","video_number","video_title","topic","views","unique_viewers","length","reupload","video_length"
"44","Most Popular",4,1,"rmarkdown2_01_install_packages","rmarkdown",63,35,"1:19",0,1.31666666666667
"41","Least Popular",3,9,"rmarkdown_09_code_chunk_opts","rmarkdown",61,39,"4:39",0,4.65
